cellules exporté sur '23/11/2014' 10:16.
 De '01/01/2013' à 31/12/2013.
Lot: BOX VACHES VMS

Numéro de l'animal	Production quotidienne	Cons. en concentrés	Date	Jours en lactation	Lactation
8941	29,10	6,0	01/01/2013	161	2
8933	27,75	5,0	01/01/2013	216	2
3500			01/01/2013		
8959	11,94	2,7	01/01/2013	113	2
3138	22,97	4,6	01/01/2013	58	2
3514			01/01/2013		
4994			01/01/2013		
3509			01/01/2013		
3129	31,33	5,8	01/01/2013	66	2
5004			01/01/2013		
4977			01/01/2013		
3227			01/01/2013		
8932	18,64	2,7	01/01/2013	387	2
3505			01/01/2013		
3532			01/01/2013		
4978	18,83	3,7	01/01/2013	59	1
1			01/01/2013		
3517			01/01/2013		
8936	27,22	6,1	01/01/2013	100	3
14			01/01/2013		
3216			01/01/2013		
3536			01/01/2013		
4990			01/01/2013		
17			01/01/2013		
9			01/01/2013		
8970	28,58	5,7	01/01/2013	44	2
3166	19,29	2,7	01/01/2013	242	1
3541			01/01/2013		
3524			01/01/2013		
4971	18,95	3,2	01/01/2013	67	1
8946	20,82	3,8	01/01/2013	128	3
3495			01/01/2013		
3504			01/01/2013		
4997			01/01/2013		
7			01/01/2013		
3140	15,85	2,4	01/01/2013	451	1
3133	20,95	4,7	01/01/2013	89	2
4965	36,62	6,5	01/01/2013	37	1
8949	34,59	7,1	01/01/2013	100	3
3537			01/01/2013		
3230			01/01/2013		
3507			01/01/2013		
3230			02/01/2013		
8959	23,70	7,2	02/01/2013	114	2
8936	27,57	6,1	02/01/2013	101	3
3524			02/01/2013		
3138	22,97	4,6	02/01/2013	59	2
7			02/01/2013		
1			02/01/2013		
3495			02/01/2013		
17			02/01/2013		
4977			02/01/2013		
3166	16,13	2,3	02/01/2013	243	1
5004			02/01/2013		
3504			02/01/2013		
8970	34,58	6,7	02/01/2013	45	2
3532			02/01/2013		
8932	16,32	2,4	02/01/2013	388	2
8946	22,68	4,2	02/01/2013	129	3
3507			02/01/2013		
3227			02/01/2013		
4971	16,73	2,8	02/01/2013	68	1
9			02/01/2013		
3505			02/01/2013		
4997			02/01/2013		
3140	16,28	2,5	02/01/2013	452	1
4990			02/01/2013		
4994			02/01/2013		
3541			02/01/2013		
4965	24,73	4,6	02/01/2013	38	1
3216			02/01/2013		
3509			02/01/2013		
8949	22,05	4,9	02/01/2013	101	3
4978	32,60	6,2	02/01/2013	60	1
14			02/01/2013		
3133	18,16	4,1	02/01/2013	90	2
3517			02/01/2013		
3514			02/01/2013		
3536			02/01/2013		
