XY
	Lactation 8 Production quotidienne
1	20,64
2	26,90
3	12,64
4	38,48
5	27,97
6	29,65
7	22,77
8	28,09
9	32,38
10	29,26
11	22,33
12	31,21
13	28,38
14	30,65
15	26,14
16	27,13
17	27,74
18	29,30
19	27,31
20	24,51
21	35,01
22	25,20
23	36,73
24	31,08
25	33,61
26	29,61
27	30,49
28	32,94
29	30,24
30	28,92
31	32,98
32	32,02
33	33,05
34	27,18
35	28,54
36	28,40
37	31,85
38	23,84
39	39,37
40	27,86
41	33,41
42	34,02
43	37,68
44	34,23
45	34,68
46	18,47
47	27,77
48	30,41
49	31,85
50	32,86
51	31,50
52	31,80
53	35,46
54	27,10
55	34,28
56	29,49
57	28,19
58	22,14
59	28,37
60	31,08
61	28,48
62	24,53
63	30,58
64	28,81
65	28,59
66	35,70
67	25,98
68	31,68
69	34,92
70	25,91
71	35,22
72	24,91
73	28,45
74	23,85
75	29,59
76	31,70
77	24,79
78	32,50
79	22,52
80	27,73
81	27,52
82	31,89
83	23,57
84	30,21
85	31,39
86	27,57
87	28,09
88	26,18
89	26,85
90	23,44
91	29,60
92	26,63
93	27,57
94	20,97
95	25,97
96	30,89
97	24,18
98	27,76
99	21,64
100	30,20
101	22,93
102	30,21
103	28,02
104	30,24
105	24,05
106	32,32
107	26,32
108	32,93
109	24,25
110	27,72
111	23,37
112	28,18
113	29,76
114	24,39
115	22,91
116	26,28
117	24,76
118	25,65
119	27,52
120	23,32
121	29,63
122	25,01
123	30,17
124	24,03
125	27,54
126	24,46
127	32,79
128	27,56
129	24,17
130	30,50
131	22,59
132	33,22
133	28,73
134	23,73
135	22,23
136	32,93
137	24,33
138	20,99
139	26,27
140	32,91
141	23,10
142	24,23
143	26,27
144	24,86
145	23,71
146	21,91
147	26,90
148	27,84
149	23,35
150	21,11
151	29,53
152	24,98
153	25,44
154	23,33
155	22,34
156	20,67
157	13,53
158	33,49
159	22,91
160	21,67
161	22,72
162	22,20
163	22,47
164	22,72
165	24,98
166	22,63
167	24,43
168	20,59
169	23,54
170	23,54
171	22,56
172	21,87
173	24,40
174	21,97
175	23,17
176	23,16
177	17,78
178	27,69
179	21,76
180	22,56
181	21,90
182	20,04
183	25,03
184	22,05
185	23,91
186	22,32
187	23,35
188	21,48
189	21,48
190	24,03
191	17,13
192	22,09
193	21,42
194	21,32
195	21,64
196	22,50
197	20,88
198	21,73
199	21,20
200	20,40
201	20,55
202	20,54
203	23,71
204	17,93
205	16,91
206	23,82
207	18,22
208	20,06
209	19,41
210	24,52
211	15,26
212	19,53
213	22,11
214	17,74
215	19,84
216	16,88
217	14,79
218	22,22
219	13,93
220	21,11
221	16,88
222	21,16
223	17,46
224	17,04
225	19,28
226	15,50
227	20,02
228	21,36
229	18,52
230	18,82
231	18,76
232	19,69
233	21,88
234	16,26
235	18,71
236	18,85
237	20,04
238	13,95
239	19,09
240	19,86
241	22,10
242	19,23
243	15,57
244	20,99
245	18,44
246	21,51
247	14,18
248	18,29
249	16,30
250	16,54
251	18,63
252	17,60
253	18,50
254	16,25
255	14,85
256	20,91
257	12,54
258	20,79
259	17,05
260	17,27
261	13,35
262	13,50
263	17,15
264	17,42
265	17,11
266	20,25
267	16,53
268	22,97
269	16,45
270	21,01
271	16,39
272	19,62
273	16,40
274	17,07
275	15,32
276	20,99
277	19,73
278	21,57
279	19,17
280	17,24
281	16,64
282	20,07
283	22,30
284	15,31
285	17,81
286	19,44
287	19,58
288	18,42
289	19,88
290	17,76
291	20,31
292	19,80
293	16,19
294	22,74
295	18,65
296	15,24
297	21,37
298	16,69
299	16,14
300	19,90
301	16,87
302	18,20
303	19,69
304	19,93
305	18,57
306	19,54
307	15,81
308	23,75
309	13,88
310	22,10
311	12,68
312	17,63
313	16,10
314	19,47
315	16,49
316	18,35
317	12,26
318	24,70
319	13,43
320	19,09
321	16,40
322	19,49
323	16,87
324	13,80
325	17,52
326	10,44
327	11,89
328	18,71
329	16,31
330	15,15
331	14,44
332	10,95
333	18,32
334	15,90
335	10,55
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
